epoch,step,train_loss,val_loss,val_reg_loss
0,4,23.182039260864258,,
0,8,,10.019311904907227,0.6967728137969971
1,9,11.045247077941895,,
1,14,4.966235160827637,,
1,17,,2.616605043411255,0.6937098503112793
2,19,2.5001165866851807,,
2,24,2.068946123123169,,
2,26,,2.042145252227783,0.7016083598136902
3,29,2.04085636138916,,
3,34,1.8481931686401367,,
3,35,,1.7387454509735107,0.6990423798561096
4,39,1.6295664310455322,,
4,44,1.511148452758789,,
4,44,,1.5318928956985474,0.7005143165588379
5,49,1.5240840911865234,,
5,53,,1.471487045288086,0.7056519389152527
6,54,1.4442479610443115,,
6,59,1.4532978534698486,,
6,62,,1.447813630104065,0.7024526000022888
7,64,1.4514048099517822,,
7,69,1.4067752361297607,,
7,71,,1.4213300943374634,0.7017893195152283
8,74,1.3748213052749634,,
8,79,1.3799610137939453,,
8,80,,1.4042271375656128,0.7026750445365906
9,84,1.3452200889587402,,
9,89,1.4248607158660889,,
9,89,,1.3863037824630737,0.7014169692993164
10,94,1.4035181999206543,,
10,98,,1.3725076913833618,0.7016621828079224
11,99,1.3277686834335327,,
11,104,1.342943549156189,,
11,107,,1.3681594133377075,0.7044764161109924
12,109,1.3362525701522827,,
12,114,1.313742995262146,,
12,116,,1.3657091856002808,0.7028281688690186
13,119,1.2933144569396973,,
13,124,1.3025249242782593,,
13,125,,1.3669931888580322,0.7022808790206909
14,129,1.2634655237197876,,
14,134,1.230399250984192,,
14,134,,1.3712197542190552,0.7027559876441956
15,139,1.3566930294036865,,
15,143,,1.3750468492507935,0.7022237181663513
16,144,1.2590584754943848,,
16,149,1.3104764223098755,,
16,152,,1.3832323551177979,0.7058128118515015
17,154,1.2827666997909546,,
17,159,1.2794142961502075,,
17,161,,1.383615255355835,0.7030167579650879
18,164,1.2539070844650269,,
18,169,1.2562236785888672,,
18,170,,1.3810356855392456,0.7014780640602112
19,174,1.1739532947540283,,
19,179,0.8519456386566162,,
19,179,,1.3745322227478027,0.7028725743293762
20,184,1.2976059913635254,,
20,188,,1.3638508319854736,0.7043660879135132
21,189,1.1882516145706177,,
21,194,1.2172808647155762,,
21,197,,1.3536434173583984,0.7024337649345398
22,199,1.1580103635787964,,
22,204,1.1899093389511108,,
22,206,,1.3496832847595215,0.7067173719406128
23,209,1.1454658508300781,,
23,214,1.1933070421218872,,
23,215,,1.3385754823684692,0.7082909941673279
